Image	Object ID	Name	Missing	Centroid X µm	Centroid Y µm
BCL2A1-483a.qptiff - resolution #1	8662ffbc-42fa-489c-a726-0739deffb4ad	A-1	False	1725.4	5401.2
BCL2A1-483a.qptiff - resolution #1	3035978e-d53e-416f-8e54-ed11f1da4a1b	A-2	False	4301	5351.2
BCL2A1-483a.qptiff - resolution #1	3a6d243c-5a83-4120-8c05-9daf768f7105	A-3	False	6801.5	5326.2
BCL2A1-483a.qptiff - resolution #1	87f7f95f-0609-4859-8478-8d5a10a1bcd4	A-4	False	9377.1	5276.2
BCL2A1-483a.qptiff - resolution #1	b7c665d7-80d4-4068-a1f0-f4ffc1935a6a	A-5	False	12027.7	5401.2
BCL2A1-483a.qptiff - resolution #1	0d9be36c-72b4-4c2a-acbe-4b3d0e5c0fea	A-6	False	14703.3	5376.2
BCL2A1-483a.qptiff - resolution #1	e2603c42-0cd7-4f3c-99c4-638a01034eef	B-1	False	1725.4	7876.7
BCL2A1-483a.qptiff - resolution #1	acbee03c-9df7-45a2-8e1d-71bf63463f8f	B-2	False	4301	7826.7
BCL2A1-483a.qptiff - resolution #1	287dd62f-1614-4af3-bb0e-4a7b6a812f99	B-3	False	6876.5	8001.8
BCL2A1-483a.qptiff - resolution #1	05895f8d-be36-4e87-ac7a-df956e8e78b4	B-4	False	9377.1	7876.7
BCL2A1-483a.qptiff - resolution #1	e7a753c7-aa24-4b6a-b945-2d7be61998fe	B-5	False	12027.7	8076.8
BCL2A1-483a.qptiff - resolution #1	7c87001b-1a39-4509-96c3-978707e4e7b3	B-6	False	14603.2	7876.7
BCL2A1-483a.qptiff - resolution #1	3f1f5738-eacc-495c-8b85-7d48c387adfc	C-1	False	1800.4	10552.3
BCL2A1-483a.qptiff - resolution #1	b58946fd-acb4-46d4-abeb-3bbbf8b0d0f8	C-2	False	4175.9	10477.3
BCL2A1-483a.qptiff - resolution #1	a67147d2-e135-45d9-aa1c-1eb264f5cf8e	C-3	False	6776.5	10527.3
BCL2A1-483a.qptiff - resolution #1	1ac54064-0a25-4e3d-a4aa-17f5f7b9a33f	C-4	False	9402.1	10527.3
BCL2A1-483a.qptiff - resolution #1	a40ba439-f630-48f4-9654-3caf6713758f	C-5	False	11952.7	10527.3
BCL2A1-483a.qptiff - resolution #1	abf529d9-b1ed-4ccb-ab63-9ee94a707a02	C-6	False	14653.2	10477.3
BCL2A1-483a.qptiff - resolution #1	02129605-eb59-41a3-adbd-f52ed80f6b12	D-1	False	1575.3	12952.9
BCL2A1-483a.qptiff - resolution #1	9001a395-1473-458c-a4da-ce02e31a8941	D-2	False	4175.9	12927.9
BCL2A1-483a.qptiff - resolution #1	35172090-4d2f-46cd-bb07-3af61373f5d5	D-3	False	6776.5	13027.9
BCL2A1-483a.qptiff - resolution #1	d650274f-9863-48a4-83fe-40191d6b72ca	D-4	False	9452.1	12977.9
BCL2A1-483a.qptiff - resolution #1	2fc21691-03ad-492b-b6b3-af066936b52f	D-5	False	12077.7	13152.9
BCL2A1-483a.qptiff - resolution #1	9c7f280e-5f5a-42c0-bf21-1d085726016d	D-6	False	14653.2	13102.9
BCL2A1-483a.qptiff - resolution #1	698bb891-cadf-4223-8162-2b6ffa4b7471	E-1	False	1625.4	15553.4
BCL2A1-483a.qptiff - resolution #1	3663c17d-aeee-4256-8d27-e4d95964e35e	E-2	False	4200.9	15478.4
BCL2A1-483a.qptiff - resolution #1	7b92533f-4d9d-4ae1-a5ab-a4db603fb478	E-3	False	6801.5	15628.5
BCL2A1-483a.qptiff - resolution #1	39c3b1fd-4f70-4927-8b27-dbbda41d61c2	E-4	False	9452.1	15553.4
BCL2A1-483a.qptiff - resolution #1	aaa72efe-a81f-4f87-8345-e48cde7ebccf	E-5	False	12027.7	15778.5
BCL2A1-483a.qptiff - resolution #1	1c5fed80-f9b6-4c41-9a46-615e9cc419f7	E-6	False	14628.2	15703.5
BCL2A1-483a.qptiff - resolution #1	0609475d-9ee3-4d03-a540-43927f5f51cd	F-1	False	1575.3	18004
