Image	Object ID	Name	Missing	Centroid X µm	Centroid Y µm
p-ikba-483a.qptiff - resolution #1	9f203272-b025-4830-9ee7-c0d4038867b2	A-1	False	1325.3	1900.4
p-ikba-483a.qptiff - resolution #1	272700df-237e-4dd3-a0fe-e48c298c913f	A-2	False	3900.9	1750.4
p-ikba-483a.qptiff - resolution #1	133d6db1-a87e-48da-966a-9935987434cc	A-3	False	6449.6	1746.7
p-ikba-483a.qptiff - resolution #1	d19bdf5a-bdc4-4495-89fc-186fbe5197da	A-4	False	8952	1450.3
p-ikba-483a.qptiff - resolution #1	52d940d4-969f-4972-b701-2dd5a7e84e3f	A-5	False	11620.1	1500.4
p-ikba-483a.qptiff - resolution #1	96161187-d1d9-4aaa-bc70-eedeabab48c8	A-6	False	14228.2	1375.3
p-ikba-483a.qptiff - resolution #1	05194765-fe44-4209-92c0-6f3ab570ad61	B-1	False	1350.3	4326
p-ikba-483a.qptiff - resolution #1	c005b617-118f-49de-88ad-4bfb94c0082b	B-2	False	3950.9	4200.9
p-ikba-483a.qptiff - resolution #1	2bf6e8e1-fc91-48ef-933b-5c6fe44ab04b	B-3	False	6551.5	4250.9
p-ikba-483a.qptiff - resolution #1	26fb710a-49d3-4255-9341-d3ebb3bf0997	B-4	False	9052	4025.9
p-ikba-483a.qptiff - resolution #1	3ee4d6cb-74d9-4343-a9df-197d1101c973	B-5	False	11677.6	4175.9
p-ikba-483a.qptiff - resolution #1	cba945a3-3c5d-41ff-9d37-5a06e8dea149	B-6	False	14228.2	3875.9
p-ikba-483a.qptiff - resolution #1	0af67b1c-a5d0-40e5-aa14-73fe0445b083	C-1	False	1575.3	7026.6
p-ikba-483a.qptiff - resolution #1	e536075c-3c24-470a-8bf4-6362d1165ce1	C-2	False	3925.9	6876.5
p-ikba-483a.qptiff - resolution #1	93b3c707-eb04-4d64-b00a-1f6b13da94c6	C-3	False	6526.4	6801.5
p-ikba-483a.qptiff - resolution #1	d622f7e8-d2b1-4f2e-b394-cdf9435cc32c	C-4	False	9152	6676.5
p-ikba-483a.qptiff - resolution #1	c4d5d0cb-0bbe-4116-a1f3-f0ac149d0d73	C-5	False	11727.6	6701.5
p-ikba-483a.qptiff - resolution #1	8572267f-cd36-415c-a60c-33b575e81b38	C-6	False	14353.2	6526.4
p-ikba-483a.qptiff - resolution #1	44a25f73-bad9-4d49-ae7e-e2c0b8132f9c	D-1	False	1450.3	9427.1
p-ikba-483a.qptiff - resolution #1	83cfa1fb-453e-4668-98fa-cbc37eb70506	D-2	False	4025.9	9277.1
p-ikba-483a.qptiff - resolution #1	d2442b1f-5465-4bb6-b026-37995c9de191	D-3	False	6601.5	9277.1
p-ikba-483a.qptiff - resolution #1	332fe073-702a-4501-ab99-434acb8d6622	D-4	False	9252.1	9152
p-ikba-483a.qptiff - resolution #1	1fc84033-e613-4192-853e-add89c0bca80	D-5	False	11877.6	9227
p-ikba-483a.qptiff - resolution #1	086c5872-6705-4086-8840-604dd7e356ff	D-6	False	14428.2	9102
p-ikba-483a.qptiff - resolution #1	f594a4ab-dcf3-4429-a460-275029c4ad8b	E-1	False	1575.3	12052.7
p-ikba-483a.qptiff - resolution #1	00f7e340-641c-4a1e-82a6-7aa28f58b3e0	E-2	False	4125.9	11877.6
p-ikba-483a.qptiff - resolution #1	099007c7-7638-4f70-8877-b92e45faf8bd	E-3	False	6701.5	11877.6
p-ikba-483a.qptiff - resolution #1	533fa535-0d15-4190-8d38-36af713a1e47	E-4	False	9327.1	11727.6
p-ikba-483a.qptiff - resolution #1	92e40f6f-1135-4ef2-90f9-63b9e9f180d4	E-5	False	11927.6	11877.6
p-ikba-483a.qptiff - resolution #1	d2eb9886-435c-45d6-9f06-2e69527ba17f	E-6	False	14478.2	11702.6
p-ikba-483a.qptiff - resolution #1	8c88bcc2-c4e3-45ca-a1d9-3d8c9cd7a7cb	F-1	False	1625.4	14503.2
p-ikba-483a.qptiff - resolution #1	a4b2e27d-eb19-4ce9-a464-2dd12e698925	F-2	False	4175.9	14403.2
p-ikba-483a.qptiff - resolution #1	3c026831-6d05-456f-befa-ecf7159c4f17	F-3	False	6726.5	14378.2
p-ikba-483a.qptiff - resolution #1	b98f19e0-8b73-4897-b7ca-14133651bd83	F-4	False	9352.1	14303.2
p-ikba-483a.qptiff - resolution #1	a0ed1530-b000-4f30-a0b6-52f84be34b77	F-5	False	12002.7	14253.2
p-ikba-483a.qptiff - resolution #1	3dacf0b1-721a-4a6a-a9cb-856eccaec446	F-6	False	14453.2	14228.2
p-ikba-483a.qptiff - resolution #1	c573165f-264a-415f-9733-99e39beb2b83	G-1	False	1725.4	16978.8
p-ikba-483a.qptiff - resolution #1	2ebb8560-7314-41ac-aa17-3ac4f44e084f	G-2	False	4275.9	16853.7
p-ikba-483a.qptiff - resolution #1	c57473e8-aa74-4b5f-adcf-61cd5d417d5f	G-3	False	6776.5	16978.8
p-ikba-483a.qptiff - resolution #1	d1109953-1e07-4e69-95a9-13c167d17825	G-4	False	9352.1	16878.7
p-ikba-483a.qptiff - resolution #1	c2bdf31d-4dfd-4ea0-984d-ac1406203027	G-5	False	11977.7	16903.7
p-ikba-483a.qptiff - resolution #1	178f5e2f-97f4-4d19-862d-dc9f7d7c82ba	G-6	False	14503.2	16728.7
p-ikba-483a.qptiff - resolution #1	6bf85526-7e26-4a99-9303-e0acf7d33a6f	H-1	False	1750.4	19429.3
p-ikba-483a.qptiff - resolution #1	50f29476-c0b8-4c56-9de9-fc4dc814204e	H-2	False	4275.9	19354.3
p-ikba-483a.qptiff - resolution #1	8b1b3cab-2dc6-4eb2-b863-994096567423	H-3	False	6826.5	19479.3
p-ikba-483a.qptiff - resolution #1	e48109f4-0529-4a1e-97e9-1b41ca56d215	H-4	False	9427.1	19402.7
p-ikba-483a.qptiff - resolution #1	b34d5070-d2a6-46fb-bc10-e7f85a2006a2	H-5	False	11948.8	19501.1
p-ikba-483a.qptiff - resolution #1	66d88780-1d30-4967-8203-9b98312a24a6	H-6	False	14502.8	19217.9
p-ikba-483a.qptiff - resolution #1	15fbe0f9-f741-41e5-aaab-070f3956c323	I-1	False	1775.4	21779.8
